Lead_Leg_GRF_mag_max_1_1,Lead_Leg_GRF_max_2_1,Lead_Leg_GRF_min_3_1,Lead_Leg_GRF_mag_Midpoint_FS_Release_4_1,Lead_Leg_GRF@Midpoint_FS_Release_5_1,Lead_Leg_GRF@Midpoint_FS_Release_6_1,Lead_Leg_GRF_Mag@Max_Shoulder_Rot_7_1,Lead_Leg_GRF@Max_Shoulder_Rot_8_1,Lead_Leg_GRF@Max_Shoulder_Rot_9_1,Trunk_COG@Footstrike_10_1,Trunk_COG@Release_11_1,Trunk_COG_Translation_12_1,Trunk_COG@Footstrike_13_1,Trunk_COG@Release_14_1,Trunk_COG_Translation_15_1,HEIGHT_16_1,MASS_17_1
1999.2635,1833.0325,-773.0367,2154.0417,1971.7206,-856.9049,0.4399,0.4833,0.0435,1.377,1.6201,0.2432,1.905,90.718,2117.8535,1940.8298,-906.3591
1946.1067,1777.0066,-756.733,2069.9255,1890.9999,-823.1199,0.4156,0.4485,0.0329,1.3783,1.6347,0.2564,1.905,90.718,2137.8193,1960.7592,-854.7811
1875.9641,1715.3696,-733.648,2125.3577,1944.9397,-838.5884,0.3955,0.4422,0.0467,1.3278,1.5962,0.2684,1.905,90.718,1.905,90.718,2469.585
2133.5264,-1237.8333,2466.3787,2126.8333,-1237.8325,2127.7622,1854.7083,-1022.7853,0.1482,0.1471,-0.0011,1.5287,1.8337,0.305,1.9558,91.6252,2273.7451
1885.8573,-1278.9178,2273.7451,1885.8578,-1269.1735,2191.918,1832.1068,-1195.0568,0.2004,0.2246,0.0242,1.5298,1.8779,0.3481,1.9558,91.6252,2341.342
1986.5736,-1236.8799,2269.9106,1931.5685,-1188.3467,2149.6682,1850.7457,-1081.5277,0.1704,0.162,-0.0084,1.5571,1.8887,0.3316,1.9558,91.6252,2601.2446
2227.3486,-1353.7391,2601.2446,2227.3491,-1336.0024,2232.2083,1890.9156,-1169.803,0.1696,0.1715,0.0019,1.5496,1.8487,0.2991,1.9558,91.6252,2447.146
2037.4956,-1353.3409,2442.0044,2031.4608,-1351.592,2241.6709,1884.8342,-1206.0123,0.1892,0.1751,-0.0141,1.56,1.8845,0.3245,1.9558,91.6252,1.9558
91.6252,2469.585,2133.5264,-1237.8333,2466.3787,2126.8333,-1237.8325,2127.7622,1854.7083,-1022.7853,0.1482,0.1471,-0.0011,1.5287,1.8337,0.305,1.9558
91.6252,2273.7451,1885.8573,-1278.9178,2273.7451,1885.8578,-1269.1735,2191.918,1832.1068,-1195.0568,0.2004,0.2246,0.0242,1.5298,1.8779,0.3481,1.9558
